V Ta Tw VPD J_exp J_num delta
0.101 293.3 301.9 2051 0.059 0.056 5.3
0.101 294.6 307.9 4026 0.136 0.119 12.6
0.101 293.9 315.3 6835 0.270 0.256 5.2
0.101 293.1 317.7 7968 0.342 0.330 3.7
0.194 295.5 301.3 2007 0.081 0.055 31.6
0.194 293.6 309.1 4429 0.182 0.166 8.8
0.194 294.0 315.2 6786 0.287 0.285 0.7
0.194 295.0 319.0 8265 0.355 0.369 3.9
0.308 295.1 301.1 1850 0.087 0.075 13.2
0.308 294.9 309.8 4201 0.208 0.188 9.6
0.308 295.4 314.2 6076 0.294 0.276 6.4
0.308 295.5 319.3 8341 0.401 0.381 5.0
0.406 295.1 300.8 1976 0.106 0.094 11.0
0.406 295.9 308.2 4141 0.206 0.196 4.7
0.406 295.3 314.2 5910 0.301 0.284 5.5
0.406 297.5 319.4 8412 0.400 0.412 3.0
0.497 296.1 302.5 2105 0.114 0.108 5.1
0.497 294.9 309.9 4238 0.244 0.217 11.4
0.497 297.0 314.9 6226 0.332 0.316 4.9
0.497 291.6 319.3 8405 0.449 0.425 5.5
0.596 294.4 301.7 2147 0.152 0.124 18.9
0.596 296.8 309.7 4240 0.257 0.244 5.1
0.596 294.0 313.7 5767 0.328 0.327 0.3
0.596 296.8 319.8 8751 0.460 0.480 4.5
0.697 296.2 301.5 2059 0.145 0.127 12.2
0.697 295.9 308.7 3866 0.239 0.247 3.5
0.697 297.7 314.7 6061 0.359 0.372 3.5
0.697 296.6 319.1 8295 0.471 0.508 7.8
